,Birth Rate,Business Tax Rate,Days to Start Business,Energy Usage,GDP,Health Exp % GDP,Health Exp/Capita,Hours to do Tax,Infant Mortality Rate,Internet Usage,Lending Interest,Life Expectancy Female,Life Expectancy Male,Mobile Phone Usage,Population 0-14,Population 15-64,Population 65+,Population Urban,Region,Country
44,0.037,0.43699999999999994,25.5,10550.0,20782116982.0,0.017,20782116982.0,270.0,0.068,0.1,0.14400000000000002,55.0,53.0,0.2,0.426,0.54,0.034,0.18,Africa,South Sudan
45,0.034,0.361,36.0,16622.0,67320812663.0,0.067,67320812663.0,180.0,0.054,0.2,0.14400000000000002,63.0,60.0,0.7,0.418,0.551,0.032,0.332,Africa,Sudan
46,0.031,0.365,56.0,10550.0,4145772237.0,0.083,4145772237.0,104.0,0.058,0.2,0.09,48.0,49.0,0.6,0.384,0.582,0.034,0.214,Africa,Swaziland
47,0.04,0.449,26.0,20747.0,23874165047.0,0.074,23874165047.0,172.0,0.039,0.0,0.15,61.0,59.0,0.6,0.449,0.52,0.031,0.288,Africa,Tanzania
48,0.037,0.489,84.0,2764.0,3756023048.0,0.08,3756023048.0,270.0,0.059,0.0,0.14400000000000002,57.0,55.0,0.4,0.42,0.553,0.027,0.38,Africa,Togo
49,0.019,0.624,11.0,9504.0,45951129422.0,0.07,45951129422.0,144.0,0.014,0.4,0.14400000000000002,77.0,73.0,1.2,0.233,0.697,0.07,0.661,Africa,Tunisia
50,0.044,0.35,33.0,10550.0,15493320082.0,0.093,15493320082.0,213.0,0.049,0.1,0.218,59.0,57.0,0.5,0.487,0.489,0.024,0.148,Africa,Uganda
51,0.043,0.14400000000000002,18.0,8462.0,19201691493.0,0.062,19201691493.0,183.0,0.059,0.1,0.188,57.0,54.0,0.6,0.468,0.505,0.026,0.392,Africa,Zambia
52,0.032,0.34299999999999997,90.0,9312.0,10956226611.0,0.06,10956226611.0,242.0,0.058,0.2,0.14400000000000002,56.0,55.0,0.7,0.408,0.552,0.04,0.33,Africa,Zimbabwe
53,0.037,0.363,7.0,28002.0,17870159082.0,0.084,17870159082.0,275.0,0.074,0.1,0.151,61.0,59.0,0.6,0.481,0.497,0.022,0.251,Asia,Afghanistan
